date,Appliances,lights,T1,RH_1,T2,RH_2,T3,RH_3,T4,RH_4,T5,RH_5,T_out,RH_out,Press_mm_hg,Windspeed,Visibility,Tdewpoint
09-04-2016 14:20,100.0,30.0,22.2,,21.6,34.79,22.29,37.06666667,20.96333333,36.82666667,20.0,44.038,13.0,51.0,749.4,7.333333333,40.0,3.0
15-01-2016 00:20,50.0,20.0,23.7,39.56,22.79,39.4,21.2,43.26,18.7,44.0225,18.63333333,55.73,0.533,96.0,749.2666667,9.333333333,46.0,
18-02-2016 17:00,100.0,10.0,20.0,33.96666667,18.32333333,34.9,19.72571429,36.29,18.66666667,33.93333333,17.29,42.79,3.1,79.0,756.2,2.0,29.0,-0.3
17-02-2016 16:30,90.0,10.0,20.89,33.59,19.29,33.9,20.2,35.44,19.39,88.5004,17.754,43.656,2.8,75.0,757.05,2.5,21.5,-1.25
02-02-2016 18:50,117.55715099860419,10.0,21.76,48.56666667,21.39,43.82666667,22.04285714,45.86071429,20.5,46.15666667,20.1,48.54277778,12.278668014473466,84.16666667,757.4833333,5.833333333,40.0,4.63
30-04-2016 08:50,310.0,10.0,,38.03,19.53,39.76666667,22.7,36.59,19.46333333,39.46666667,19.2,,6.07,89.16666667,758.4333333,1.0,40.0,4.43
13-01-2016 07:20,50.0,30.0,18.79,44.5,18.1,43.96666667,19.5,43.9,18.39,44.09,19.3,66.79,5.07,,754.0333333,5.666666667,33.33333333,3.4
26-04-2016 03:20,60.0,30.0,21.1,37.4,18.06666667,40.0,21.89,36.36333333,20.934,35.09,19.7,48.86,2.1,93.33333333,748.5666667,3.0,40.0,1.13
17-05-2016 21:50,50.0,10.0,23.79,41.5,22.79,40.34,24.5,38.46,23.6,39.29,21.5,63.47142857,12.9,78.33333333,756.4833333,3.0,29.16666667,9.2
17-05-2016 05:10,80.0,10.0,22.7,39.69333333,20.29,41.53,24.54285714,38.07714286,22.63333333,37.79,19.7,42.09,8.45,94.16666667,759.1333333,2.0,51.0,7.58
05-04-2016 22:00,50.0,30.0,23.0,,20.35666667,45.03,24.6,38.59,21.32333333,41.82666667,21.1,52.06333333,9.1,79.0,753.8,3.0,40.0,5.7
26-02-2016 21:30,100.0,,21.2,37.0,20.1,37.29,20.89,36.45,20.82333333,34.32666667,21.212,80.9989,3.25,81.0,,2.0,20.5,0.25
05-04-2016 00:50,60.0,10.0,22.5,44.09,20.1,47.12666667,24.7,40.93333333,21.5,43.0,21.2,62.478744771519395,8.85,92.0,748.9,1.0,22.83333333,7.63
,60.0,20.0,23.2,35.9,21.0,37.43333333,23.89,37.09,22.7,34.2,19.89,41.29,8.9,79.0,756.6,3.0,40.0,5.5
29-03-2016 15:10,110.0,20.0,22.29,39.2,21.2,,22.79,37.79,21.15,40.0,20.2,52.86333333,10.4,62.0,751.35,5.666666667,40.0,3.35
04-03-2016 10:20,50.0,20.0,20.39,38.0,18.62857143,39.0,20.6,37.85875,19.1,36.62142857,18.07142857,47.84285714,4.26,92.23809524,739.6238095,4.285714286,48.0,3.1
27-03-2016 04:20,70.0,20.0,22.79,39.7,19.89,43.53,23.29,39.59,19.89,82.5187,20.2,51.06,7.0,97.33333333,748.8,,64.33333333,6.63
11-01-2016 20:20,120.0,20.0,20.89,48.43333333,20.2,45.7225,20.16666667,47.3,19.175,49.9475,18.06666667,55.014523150175215,6.0,87.66666667,739.962387262048,6.0,40.0,4.03
10-04-2016 17:30,90.0,10.0,,37.83333333,22.6,36.22333333,22.89,38.03,22.1,36.93,21.29,41.64857143,14.9,58.0,751.1,5.0,,6.5
26-05-2016 16:20,420.0,10.0,,42.5,25.30428571,36.45428571,26.1,37.09,24.6,40.23,21.92666667,47.59,21.0,47.0,756.3,1.333333333,40.0,9.2
02-05-2016 06:40,80.0,30.0,21.2,36.4,18.0,40.29,22.1,35.06,,34.36333333,19.6,46.23,1.73,93.0,764.6333333,1.0,,0.7
18-05-2016 12:40,80.0,20.0,23.2,42.06,23.84,38.95,24.1,39.66333333,23.39,40.29,21.1,44.83714286,,61.66666667,772.8322,6.333333333,29.0,8.73
05-02-2016 21:40,60.0,10.0,22.73,44.9,22.2,43.5,22.29,45.2,20.39,,18.79,56.075,8.67,90.66666667,758.7333333,6.0,21.66666667,7.23
10-02-2016 15:30,110.0,20.0,20.6,42.5,19.89,40.59,21.0,41.0,19.2,41.0,18.89,48.645,6.1,85.5,743.05,4.5,40.0,3.8
16-01-2016 20:50,140.0,30.0,23.29,39.12666667,22.1,38.2,22.46333333,43.29666667,21.0,41.17,18.89,51.96666667,0.467,95.33333333,765.0666667,4.333333333,18.33333333,-0.133
06-04-2016 01:40,40.0,20.0,22.39,40.82666667,19.2,45.9,24.0,38.7,21.0,40.9,,52.7,6.97,92.66666667,754.3,3.0,24.0,5.87
21-03-2016 10:30,60.0,20.0,21.29,38.76,19.23,41.86333333,,36.9,19.7,37.59,19.5,42.36333333,7.85,79.0,761.75,3.0,34.0,4.4
13-01-2016 17:10,100.0,10.0,19.29,,18.7,39.76,19.29,42.03,19.0,39.9,17.29,48.9,4.78,72.0,757.3,3.0,40.0,0.0833
23-04-2016 19:40,120.0,30.0,23.03333333,38.5,20.745,38.395,23.6,33.79,22.39,32.5,21.8,56.707430009051485,7.03,57.0,758.0666667,7.0,40.0,-1.1
28-02-2016 14:20,60.0,10.0,21.2,34.59,19.89,34.76,20.2,35.2,20.2,34.59,,46.44285714,5.8,51.66666667,757.4,8.333333333,32.0,-3.47
30-03-2016 17:20,80.0,10.0,21.79,39.03,21.1,37.79,,37.56,21.29,37.59,20.06666667,44.13333333,10.9,66.66666667,753.1666667,3.333333333,40.0,4.93
24-04-2016 17:10,110.0,10.0,22.1,,20.1,37.29666667,22.7,34.5,21.6,34.29285714,20.56666667,44.15666667,5.88,76.83333333,757.3833333,6.0,40.0,2.03
21-01-2016 11:40,40.0,30.0,17.96333333,37.62666667,17.2,36.76,18.1,38.82666667,17.92666667,37.06,16.29,43.145,1.8,69.33333333,764.5,1.0,43.836269776996154,-3.33
05-04-2016 23:50,50.0,20.0,22.63333333,41.03,19.7,45.59,24.29,38.79,21.2,41.29,20.96333333,53.93333333,7.5,87.33333333,754.1666667,3.0,40.0,5.5
24-03-2016 04:30,30.0,20.0,21.6,38.7,18.89,41.93333333,22.39,39.0,20.89,37.26,19.5,48.29,5.2,92.0,756.35,1.5,46.78670201120933,3.95
01-03-2016 17:30,60.0,10.0,20.79,36.76,19.2,37.59,20.5,35.96666667,,37.2,17.5,44.23,5.25,94.5,753.2,9.5,62.0858,4.45
17-03-2016 23:10,50.0,20.0,22.7,34.53,19.6,37.36333333,21.5,35.29,22.89,33.3725,19.2,75.53333333,2.43,87.16666667,764.35,1.833333333,61.0,0.55
06-03-2016 13:20,80.0,20.0,19.6,38.59,18.46333333,,19.79,37.5,20.2,36.4,17.5,47.79,4.47,92.0,746.9666667,6.666666667,40.0,3.2
30-03-2016 09:50,120.0,20.0,21.5,41.06666667,,44.19333333,22.39,38.09,20.76,39.12666667,20.0,48.29,8.22,74.83333333,752.4333333,4.833333333,40.0,
26-05-2016 19:40,1018.3037,20.0,24.39,44.33,24.5,40.42,28.42666667,39.06,24.5,40.46666667,23.19,,20.2,51.66666667,755.5,3.0,36.33333333,9.93
15-03-2016 18:40,280.0,10.0,21.26,42.59666667,19.39,,20.89,36.1,20.89,35.43333333,19.1,42.89,6.9,81.0,763.6666667,7.0,23.0,3.8
05-03-2016 17:30,60.0,10.0,20.0,34.23,17.82333333,,21.63333333,34.76666667,18.42666667,34.65666667,18.13333333,46.82666667,5.3,68.0,743.15,2.5,40.0,-0.2
20-05-2016 01:20,60.0,10.0,23.1,41.2,21.29,42.0,24.625,39.7225,23.0,40.4,22.1,57.09,9.83,86.33333333,757.8666667,3.0,56.0817,7.7
17-04-2016 22:20,60.0,20.0,22.5,38.96666667,19.5,41.63333333,22.55,38.09,21.96857143,43.22850285092485,20.79,44.9,4.7,87.66666667,759.6333333,1.0,40.0,2.77
23-04-2016 00:20,60.0,10.0,23.890442128338552,39.0,20.29,39.845,24.85666667,36.26,22.39,35.2,21.0,56.22333333,8.8,76.33333333,757.0,5.0,35.66666667,4.8
08-03-2016 20:50,100.0,30.0,20.79,39.15666667,18.5,40.93333333,20.26,37.86333333,20.29333333,36.96666667,18.12666667,60.27842485919921,4.57,74.5,756.3333333,3.833333333,40.0,0.367
04-03-2016 06:30,50.0,30.0,20.79,36.59,,38.2,21.0,38.7,19.365,36.0,18.2,51.545,3.76,91.14285714,740.6642857,7.571428571,59.2518,2.39
01-04-2016 03:50,125.59231214344325,30.0,21.7,38.9,18.89,41.9,22.5,38.9,20.1,39.29,19.7,48.9,4.57,91.16666667,757.9333333,2.166666667,27.33333333,3.2
17-03-2016 15:30,80.0,10.0,22.7,32.49666667,21.13333333,30.39333333,21.6,34.06,21.92666667,31.82333333,30.7788,40.02666667,10.1,50.0,764.9,4.0,27.0,0.05
07-02-2016 00:40,50.0,20.0,22.7,43.29,21.92666667,42.9,21.6,44.73,19.1,,19.29,,10.8,64.66666667,742.2666667,8.333333333,40.0,4.37
18-04-2016 01:30,80.0,20.0,21.96333333,38.7,18.39,42.66333333,22.46333333,37.76,22.1,37.0,20.55,44.7,2.75,91.0,760.35,1.0,,1.35
21-01-2016 09:30,60.0,10.0,17.85666667,38.02666667,16.89,,18.2,38.9,16.79,36.29,16.23,46.47611111,-2.9,91.5,763.95,1.0,47.5,-4.15
24-04-2016 18:20,110.0,10.0,22.2,36.0,20.0,37.0,22.56666667,33.96666667,,34.054,,42.43333333,7.37,,757.4,5.666666667,40.0,1.17
